requirement_id,model_id,disposition,design_targets,source,claim
"MVP1-SYS-REQ-011","SystemRequirement011","inherited","GovernContractEvolution","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-012","SystemRequirement012","inherited","DistinctSequenceDomains","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-013","SystemRequirement013","inherited","ScheduleSubscriberDelivery","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-014","SystemRequirement014","inherited","StableCommandIdentity","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-015","SystemRequirement015","inherited","ConsumeTargetRecord","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-016","SystemRequirement016","inherited","DecodeP1000Frames","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-017","SystemRequirement017","inherited","MachineContract;BuckingContract","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-018","SystemRequirement018","inherited","PublishAccessCatalog","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-019","SystemRequirement019","inherited","ValidateMachineCommand","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-020","SystemRequirement020","inherited","InjectSemanticOperatorInput","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-021","SystemRequirement021","inherited","HandleSimulatorControl","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-022","SystemRequirement022","inherited","BoundedSubscribers","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-023","SystemRequirement023","inherited","ScheduleSubscriberDelivery","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-024","SystemRequirement024","inherited","DurableFactsRetained","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-025","SystemRequirement025","inherited","RecoverUiSession","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-026","SystemRequirement026","inherited","ShutdownServiceRuntime","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-027","SystemRequirement027","inherited","AdvanceP1000Protocol","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-028","SystemRequirement028","inherited","P1000Gateway","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-029","SystemRequirement029","inherited","DecodeP1000Frames","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-030","SystemRequirement030","inherited","AdvanceP1000Protocol","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-031","SystemRequirement031","inherited","CalibrateMeasurement","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-032","SystemRequirement032","inherited","MaintainAbsoluteProfile","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-033","SystemRequirement033","inherited","BufferTargetHistory","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-034","SystemRequirement034","inherited","RecoverTargetHistory","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-035","SystemRequirement035","inherited","TargetContract","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-036","SystemRequirement036","inherited","GatePhysicalWrite","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-037","SystemRequirement037","inherited","HiddenTruthIsolated","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-038","SystemRequirement038","inherited","ResetSimulatedTruth","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-039","SystemRequirement039","inherited","PreserveVisualIntent","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-040","SystemRequirement040","inherited","PureLibraries","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-041","SystemRequirement041","inherited","ComputeOneBest","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-042","SystemRequirement042","inherited","AcceptPlanningResult","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-043","SystemRequirement043","inherited","PlannerState","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-044","SystemRequirement044","inherited","ValidateCutContext","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-045","SystemRequirement045","inherited","DecodeClassicApt","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-046","SystemRequirement046","inherited","OperatorUiDomain;SimulatorUiDomain","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-047","SystemRequirement047","inherited","GenericUiMechanisms","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-048","SystemRequirement048","inherited","RepresentationRuntime","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-049","SystemRequirement049","inherited","RenderSharedShell","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-050","SystemRequirement050","superseded","SelectedUiSeparation","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-051","SystemRequirement051","inherited","ScheduleUiDelivery","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-052","SystemRequirement052","inherited","ReconcileViewNodes","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-053","SystemRequirement053","inherited","FormatPresentationValue","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-054","SystemRequirement054","inherited","ObserveMachineHistory;ObserveBuckingHistory","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-055","SystemRequirement055","inherited","DomainTruthOwned","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-056","SystemRequirement056","inherited","ReplayConfiguredRange","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-057","SystemRequirement057","inherited","NoPhysicalExecution","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-058","SystemRequirement058","inherited","TransferLabArtifact","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-059","SystemRequirement059","inherited","MVP1","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-060","SystemRequirement060","inherited","GovernContractEvolution","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-061","SystemRequirement061","inherited","MachineService;LabKit;ServiceKit;P1000Gateway","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-062","SystemRequirement062","inherited","ContractRegistry","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-063","SystemRequirement063","inherited","CheckCrossLanguageFixtures","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-064","SystemRequirement064","inherited","MVP1","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-065","SystemRequirement065","inherited","MVP1","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-066","SystemRequirement066","inherited","ServerBoundAuthority","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-067","SystemRequirement067","inherited","ValidateMachineCommand","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-068","SystemRequirement068","inherited","MachineLab;BuckingLab","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-069","SystemRequirement069","inherited","ReduceMachineState","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-070","SystemRequirement070","inherited","RouteMachineToolCommand","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-071","SystemRequirement071","inherited","ServeMachineLabRequests;ServeBuckingLabRequests","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-072","SystemRequirement072","inherited","CommonServiceContract","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-073","SystemRequirement073","inherited","CommonServiceContract","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-074","SystemRequirement074","inherited","HandleMachineStop","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-075","SystemRequirement075","inherited","HandleMachineStop","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-076","SystemRequirement076","inherited","StopState","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-077","SystemRequirement077","inherited","DiagnosticsSurviveStop","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-078","SystemRequirement078","inherited","HandleMachineStop","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-079","SystemRequirement079","inherited","PermissiveInputAdapter","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-080","SystemRequirement080","inherited","GlobalStopFlow","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-081","SystemRequirement081","inherited","StableCommandIdentity","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-082","SystemRequirement082","inherited","HandleBuckingStop","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-083","SystemRequirement083","inherited","HandleMachineStop","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-084","SystemRequirement084","inherited","SimCtl;MsCtl;BuckCtl","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-085","SystemRequirement085","inherited","CommonServiceContract","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-086","SystemRequirement086","inherited","HandleBuckingStop;StopLabAutomation","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-087","SystemRequirement087","inherited","CommonServiceContract","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-088","SystemRequirement088","inherited","StopState","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-089","SystemRequirement089","inherited","ServerBoundAuthority","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-090","SystemRequirement090","inherited","RecoverCommandLifecycle","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-091","SystemRequirement091","inherited","DistinctSequenceDomains","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-092","SystemRequirement092","inherited","CommitUiBaseline","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-093","SystemRequirement093","inherited","NegotiateServiceSession","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-094","SystemRequirement094","inherited","ConservativeQuality","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-095","SystemRequirement095","inherited","ServeMachineLabRequests","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-096","SystemRequirement096","inherited","MVP1","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-097","SystemRequirement097","inherited","ContractRegistry","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-098","SystemRequirement098","inherited","CheckCrossLanguageFixtures","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-099","SystemRequirement099","inherited","MVP1","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"CTR-REQ-001","CTRRequirement001","proposed","ContractRegistry","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/contracts/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"CTR-REQ-002","CTRRequirement002","proposed","ContractRegistry","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/contracts/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"CTR-REQ-003","CTRRequirement003","proposed","ContractRegistry","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/contracts/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"CTR-REQ-004","CTRRequirement004","proposed","ContractRegistry","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/contracts/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"CTR-REQ-005","CTRRequirement005","proposed","ContractRegistry","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/contracts/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"CTR-REQ-006","CTRRequirement006","proposed","ContractRegistry","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/contracts/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"CTR-REQ-007","CTRRequirement007","proposed","ContractRegistry","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/contracts/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"CTR-REQ-008","CTRRequirement008","proposed","ContractRegistry","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/contracts/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"CTR-REQ-009","CTRRequirement009","proposed","ContractRegistry","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/contracts/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"CTR-REQ-010","CTRRequirement010","proposed","ContractRegistry","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/contracts/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"CTR-REQ-011","CTRRequirement011","proposed","ContractRegistry","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/contracts/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"CTR-REQ-012","CTRRequirement012","proposed","ContractRegistry","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/contracts/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"CTR-REQ-013","CTRRequirement013","proposed","ContractRegistry","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/contracts/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
